iter	Passed	Remaining
139	174748	886222
140	176284	886424
141	177792	886458
142	179224	886096
143	180632	885601
144	182141	885582
145	183703	885803
146	185031	884876
147	186484	884539
148	187751	883312
149	189023	882107
150	190213	880526
151	191230	878151
152	192572	877272
153	193807	875911
154	195219	875340
155	196597	874606
156	198020	874063
157	199231	872582
158	200550	871576
159	201803	870277
160	203127	869286
161	203134	862694
162	204462	861752
163	205846	861042
164	207193	860168
165	208657	859767
166	209852	858260
167	211081	856891
168	212390	855845
169	213610	854443
170	214948	853507
171	216512	853463
172	217963	852955
173	219509	852805
174	220974	852331
175	222568	852334
176	223952	851524
177	225454	851152
178	226941	850714
179	228339	849928
180	229792	849342
181	231147	848389
182	232559	847633
183	233777	846171
184	235248	845622
185	236650	844816
186	238002	843825
187	239409	843026
188	240621	841537
189	241903	840297
190	243200	839104
191	244489	837887
192	245957	837274
193	247536	837029
194	248913	836093
195	250344	835333
196	251769	834545
197	253160	833640
198	254484	832510
199	255802	831359
200	257246	830610
201	258620	829634
202	259826	828116
203	259833	822806
204	261264	822028
205	262566	820838
206	263882	819693
207	265330	818952
208	266868	818481
209	268254	817538
210	269709	816797
211	271203	816169
212	272671	815454
213	274191	814887
214	275638	814094
215	276645	812007
216	278073	811154
217	279382	809953
218	280814	809104
219	282314	808445
220	283723	807520
221	285194	806765
222	286416	805305
223	287883	804530
224	289275	803544
225	290653	802511
226	291984	801348
227	293378	800358
228	294746	799290
229	296079	798126
230	297432	797014
231	298800	795941
232	300129	794763
233	301363	793334
234	302655	792057
235	303979	790862
236	305295	789645
237	306589	788372
238	307829	786960
239	309019	785423
240	310304	784131
241	311585	782826
242	312916	781648
243	314199	780348
244	315312	778629
245	316390	776829
246	317468	775033
247	318869	774031
248	320210	772876
249	321384	771322
250	322787	770317
251	324127	769159
252	325448	767954
253	326864	766972
254	328311	766061
255	329761	765149
256	330988	763720
257	332349	762599
258	333852	761801
259	335289	760849
260	336508	759401
261	337799	758115
262	339089	756826
263	340522	755857
264	341944	754857
265	343329	753775
266	344627	752501
267	346179	751778
268	347708	750999
269	349230	750199
270	350745	749378
271	352200	748427
272	353795	747765
273	355104	746496
274	356405	745212
275	357419	743328
276	358815	742242
277	360089	740903
278	361262	739357
279	362526	738001
280	363712	736485
281	364970	735117
282	366159	733612
283	367228	731871
284	368399	730336
285	369566	728794
286	370766	727323
287	372175	726259
288	373400	724836
289	374472	723120
290	375720	721744
291	376832	720111
292	378119	718814
293	379371	717451
294	380617	716076
295	381873	714722
296	383219	713536
297	384577	712372
298	385679	710733
299	386932	709376
300	388144	707943
301	389091	706033
302	390403	704787
303	391590	703317
304	392635	701594
305	393837	700154
306	395128	698875
307	396511	697757
308	398029	696873
309	399614	696102
310	401221	695364
311	402691	694384
312	403960	693057
313	405271	691800
314	406794	690905
315	408229	689855
316	409642	688768
317	411211	687938
318	412721	687006
319	414026	685732
320	415005	683918
321	416016	682163
322	417368	680970
323	418486	679395
324	419559	677750
325	420356	675664
326	421401	673983
327	422480	672362
328	423758	671057
329	424929	669585
330	426040	668020
331	426953	666150
332	428108	664660
333	429192	663063
334	430271	661462
335	431327	659827
336	432400	658224
337	433439	656571
338	434569	655059
339	435766	653649
340	436794	651988
341	437944	650514
342	439129	649092
343	440188	647486
344	441169	645769
345	442284	644252
346	443399	642737
347	444495	641197
348	445600	639672
349	446626	638038
350	447779	636586
351	448879	635062
352	449927	633466
353	451147	632115
354	452349	630740
355	453585	629413
356	454781	628031
357	455711	626284
358	456781	624734
359	457796	623111
360	458890	621599
361	459978	620081
362	461004	618481
363	462251	617181
364	463361	615699
365	464517	614280
366	465632	612807
367	466893	611529
368	467888	609904
369	468810	608186
370	469987	606803
371	471088	605323
372	472201	603861
373	473298	602379
374	474457	600979
375	475650	599623
376	476873	598305
377	478112	597008
378	479235	595567
379	480317	594077
380	481560	592786
381	482733	591411
382	483985	590133
383	485168	588772
384	486395	587465
385	487430	585927
386	488496	584429
387	489684	583077
388	490811	581656
389	492078	580399
390	493180	578950
391	494208	577417
392	495400	576076
393	496493	574622
394	497534	573109
